party,value,color,logo
Samfylkingin,27.0,#d96464,https://visir.is/static/files/uploads/samfylkingin3.svg
Miðflokkurinn,21.2,#5b7394,https://visir.is/static/files/uploads/midflokkurinn45.svg
Viðreisn,11.1,#e3a35a,https://visir.is/static/files/uploads/vidreisn45.svg
Sjálfstæðisflokkurinn,13.5,#6f9ad8,https://visir.is/static/files/uploads/falkinn45.svg
Framsókn,7.1,#4f8f68,https://visir.is/static/files/uploads/midflokkurinn45.svg
Flokkur fólksins,4.3,#f1d483,https://visir.is/static/files/uploads/midflokkurinn45.svg
Sósíalistaflokkurinn,4.1,#d8a19a,https://visir.is/static/files/uploads/midflokkurinn45.svg
Píratar,4.1,#9d93ad,https://visir.is/static/files/uploads/midflokkurinn45.svg
Vinstri græn,3.7,#9dc09b,https://visir.is/static/files/uploads/midflokkurinn45.svg
